,0
0,Asia
1,Asia
2,Asia
3,Asia
4,Asia
5,Asia
6,Asia
7,Asia
8,Asia
9,Asia
10,Asia
11,Asia
12,Asia
13,Asia
14,Asia
15,Asia
16,Europe
17,Europe
18,Europe
19,Europe
20,Europe
21,Europe
22,Europe
23,Europe
24,Europe
25,Europe
26,Europe
27,Europe
28,Europe
29,Europe
30,Europe
31,Europe
32,Africa
33,Africa
34,Africa
35,Africa
36,Africa
37,Africa
38,Africa
39,Africa
40,Africa
41,Africa
42,Africa
43,Africa
44,Africa
45,Africa
46,Africa
47,Africa
48,Africa
49,Africa
50,Africa
51,Africa
52,Africa
53,Africa
54,Africa
55,Africa
56,Africa
57,Africa
58,Africa
59,Africa
60,Africa
61,Africa
62,Africa
63,Africa
64,North America
65,North America
66,North America
67,North America
68,North America
69,North America
70,North America
71,North America
72,North America
73,North America
74,North America
75,North America
76,North America
77,North America
78,North America
79,North America
80,South America
81,South America
82,South America
83,South America
84,South America
85,South America
86,South America
87,South America
88,South America
89,South America
90,South America
91,South America
92,South America
93,South America
94,South America
95,South America
96,Asia
97,Asia
98,Asia
99,Asia
100,Asia
101,Asia
102,Asia
103,Asia
104,Asia
105,Asia
106,Asia
107,Asia
108,Asia
109,Asia
110,Asia
111,Asia
112,Oceania
113,Oceania
114,Oceania
115,Oceania
116,Oceania
117,Oceania
118,Oceania
119,Oceania
120,Oceania
121,Oceania
122,Oceania
123,Oceania
124,Oceania
125,Oceania
126,Oceania
127,Oceania
128,Europe
129,Europe
130,Europe
131,Europe
132,Europe
133,Europe
134,Europe
135,Europe
136,Europe
137,Europe
138,Europe
139,Europe
140,Europe
141,Europe
142,Europe
143,Europe
144,Asia
145,Asia
146,Asia
147,Asia
148,Asia
149,Asia
150,Asia
151,Asia
152,Asia
153,Asia
154,Asia
155,Asia
156,Asia
157,Asia
158,Asia
159,Asia
160,North America
161,North America
162,North America
163,North America
164,North America
165,North America
166,North America
167,North America
168,North America
169,North America
170,North America
171,North America
172,North America
173,North America
174,North America
175,North America
176,Asia
177,Asia
178,Asia
179,Asia
180,Asia
181,Asia
182,Asia
183,Asia
184,Asia
185,Asia
186,Asia
187,Asia
188,Asia
189,Asia
190,Asia
191,Asia
192,Asia
193,Asia
194,Asia
195,Asia
196,Asia
197,Asia
198,Asia
199,Asia
200,Asia
201,Asia
202,Asia
203,Asia
204,Asia
205,Asia
206,Asia
207,Asia
208,North America
209,North America
210,North America
211,North America
212,North America
213,North America
214,North America
215,North America
216,North America
217,North America
218,North America
219,North America
220,North America
221,North America
222,North America
223,North America
224,Europe
225,Europe
226,Europe
227,Europe
228,Europe
229,Europe
230,Europe
231,Europe
232,Europe
233,Europe
234,Europe
235,Europe
236,Europe
237,Europe
238,Europe
239,Europe
240,Europe
241,Europe
242,Europe
243,Europe
244,Europe
245,Europe
246,Europe
247,Europe
248,Europe
249,Europe
250,Europe
251,Europe
252,Europe
253,Europe
254,Europe
255,Europe
256,North America
257,North America
258,North America
259,North America
260,North America
261,North America
262,North America
263,North America
264,North America
265,North America
266,North America
267,North America
268,North America
269,North America
270,North America
271,North America
272,Africa
273,Africa
274,Africa
275,Africa
276,Africa
277,Africa
278,Africa
279,Africa
280,Africa
281,Africa
282,Africa
283,Africa
284,Africa
285,Africa
286,Africa
287,Africa
288,Asia
289,Asia
290,Asia
291,Asia
292,Asia
293,Asia
294,Asia
295,Asia
296,Asia
297,Asia
298,Asia
299,Asia
300,Asia
301,Asia
302,Asia
303,Asia
304,South America
305,South America
306,South America
307,South America
308,South America
309,South America
310,South America
311,South America
312,South America
313,South America
314,South America
315,South America
316,South America
317,South America
318,South America
319,South America
320,Europe
321,Europe
322,Europe
323,Europe
324,Europe
325,Europe
326,Europe
327,Europe
328,Europe
329,Europe
330,Europe
331,Europe
332,Europe
333,Europe
334,Europe
335,Europe
336,Africa
337,Africa
338,Africa
339,Africa
340,Africa
341,Africa
342,Africa
343,Africa
344,Africa
345,Africa
346,Africa
347,Africa
348,Africa
349,Africa
350,Africa
351,Africa
352,South America
353,South America
354,South America
355,South America
356,South America
357,South America
358,South America
359,South America
360,South America
361,South America
362,South America
363,South America
364,South America
365,South America
366,South America
367,South America
368,Asia
369,Asia
370,Asia
371,Asia
372,Asia
373,Asia
374,Asia
375,Asia
376,Asia
377,Asia
378,Asia
379,Asia
380,Asia
381,Asia
382,Asia
383,Asia
384,Europe
385,Europe
386,Europe
387,Europe
388,Europe
389,Europe
390,Europe
391,Europe
392,Europe
393,Europe
394,Europe
395,Europe
396,Europe
397,Europe
398,Europe
399,Europe
400,Africa
401,Africa
402,Africa
403,Africa
404,Africa
405,Africa
406,Africa
407,Africa
408,Africa
409,Africa
410,Africa
411,Africa
412,Africa
413,Africa
414,Africa
415,Africa
416,Africa
417,Africa
418,Africa
419,Africa
420,Africa
421,Africa
422,Africa
423,Africa
424,Africa
425,Africa
426,Africa
427,Africa
428,Africa
429,Africa
430,Africa
431,Africa
432,Africa
433,Africa
434,Africa
435,Africa
436,Africa
437,Africa
438,Africa
439,Africa
440,Africa
441,Africa
442,Africa
443,Africa
444,Africa
445,Africa
446,Africa
447,Africa
448,Asia
449,Asia
450,Asia
451,Asia
452,Asia
453,Asia
454,Asia
455,Asia
456,Asia
457,Asia
458,Asia
459,Asia
460,Asia
461,Asia
462,Asia
463,Asia
464,Africa
465,Africa
466,Africa
467,Africa
468,Africa
469,Africa
470,Africa
471,Africa
472,Africa
473,Africa
474,Africa
475,Africa
476,Africa
477,Africa
